9291891,182302,27053343,3307,358278,15046,35482169,88672,773267,685998,137538801,958,39383,8384,3944016,349502,3551448,17618,113710453,7938,26567364,212758,404,154
2056644137,529965,231737372,7253,677553,73172,4336445241,361266,673100,830040,1058076680,25120,22860138,17225,344887048,605901,417784622,75622,115003716,13404,1519145946,423861,555,148
2812188723,301299,268386458,6384,2045682,30738,9214904717,214153,511238,552129,715904699,19499,159389055,13558,585346623,424546,1143384126,29446,140919996,10688,3102393067,350308,704,151
3453351253,247333,162552285,6255,4538007,27332,13983315224,212555,335490,791898,454957973,17219,506571905,41755,1436431671,423185,2061753774,49674,158371358,7896,1969432343,225084,604,122
3507154263,241731,128634753,8857,4851669,8568,17507723219,200925,1194739,609512,413127721,5341,691572194,36626,1318819290,325343,4283824096,61139,147191673,6821,1063615132,167320,219,87
4015036808,241877,98448643,3588,5297082,5586,9259532320,164134,1205710,625780,255711065,4343,1286076785,50852,1318819290,272513,4805765463,54317,142026653,11405,471214339,162255,251,101
4606747889,163848,79526323,3507,6684612,5527,5947854979,159222,833901,653773,214009794,3666,2757551888,36690,1318819290,324601,6374690767,37300,132929040,7214,350229634,149604,1485,160
4407234058,118760,126312739,3782,7819821,9805,4329645010,122407,1475779,505839,531346053,7298,4312943933,78612,1318819290,279329,7985534628,55734,124207668,8319,288282011,148091,1642,168
5305129292,105265,243013594,5554,5472368,6509,17620851806,148540,7504737,457276,1656117587,20753,5684546264,126046,1318819290,220624,10492774582,79080,114221212,7573,1531416983,213741,2941,335
4719298518,111959,231241347,5620,5257615,2065,21789344417,199663,6158034,441250,1481527981,40503,8308405575,117718,1926868629,247940,13649087351,80829,110381593,7096,2686227891,337037,8108,98
4687097590,112426,170915391,10860,4352245,2232,23693148987,213744,3763087,486226,909949635,11459,10745157944,157791,2297970047,238080,16122014895,99512,114987159,8426,1930194104,240991,3325,138
4757484102,133565,135352895,18291,3559510,1386,24901326757,206485,2850325,475043,743051038,7349,13253932148,155541,2023853118,262061,21235563550,72080,99887904,17632,1138116087,231908,2169,565
5410454165,140902,103223300,5685,3042666,1458,13450701433,179268,2170308,497950,501981146,6431,16027665925,172716,1976433877,236206,21324099717,91954,91842870,12560,624075674,229905,2804,343
5446480954,94109,90048086,2307,3221187,7332,8950903682,154005,1109884,502587,451433324,12679,18274551534,193935,2184957333,118927,25080051691,108538,82894288,10186,398247564,373847,3035,212
5189482633,102817,135129604,2727,4387055,3687,6456948135,118503,1872169,473451,999598304,7803,19377878158,173075,2152000442,120123,28202103226,172663,73852477,12268,359313788,230098,1665,102
5912868295,83139,266699690,6810,3884536,2879,20302755534,138927,2308655,692276,3063390428,14460,21365137004,168317,2346168663,70223,31823578851,133701,65275356,9105,1431563474,374110,3948,159
